Date,Time,Timezone,Retailer,lastUserSessionId,store,Retailer StoreID,country,lastActiveUser,app version,Q1: How satisfied are you with the NewStore Associate App?,Q2: Can you tell us why?,Q2. Other (please specify) explain,Q3: How often do these issues occur?,"Q4: How would you rate the recent app's performance (e.g., speed, reliability)?",Q5: Where should we focus on improving the app?,Q5. Others (please specify) explain,"Q6: Any other thoughts, feedback, or ideas you have for us?"
2024-10-04,13:06:02,UTC,clarks,PSYEmBzlPC4Oa1ioawXMR,1784,clarks_1784,,e5bb189cd0ce5f54a8def065cacd4081,1.55.0 ,🙂 Satisfied,,,,😐 OK,"`Speed and Performance` ,`Searching`",,
2024-10-04,13:16:55,UTC,clarks,ATDpS0yCpkKPFTkAwOEhL,5500,clarks_5500,,2d88dff0e7335c80af26d01df5d85247,1.55.0 ,😭 Very Unsatisfied,,,,,,,
2024-10-04,16:10:33,UTC,5sn,iZowNX1hXI3GoAZJfP0ys,70,5sn_70,,0c338d53b2f0515c896c46307e995b72,1.54.0 ,😐 Neutral,"`Too many steps to complete a task.` ,`It’s hard to find products.`",,Consistently (daily),😐 OK,"`Speed and Performance` ,`Logging in` ,`Scanning` ,`Searching` ,`Customer Capture` ,`Ease of Navigation` ,`Payment`",,
2024-10-04,17:01:23,UTC,clarks,Y0ChXSj5UXi2VOfCsivVy,5116,clarks_5116,,2cf049d69ad75dcb8d11145616bcec0a,1.55.0 ,😐 Neutral,"`It’s hard to find products.` ,`The login process interrupts my work`",,Occasionally (2-3 times per week),😐 OK,`Searching`,,It would be nicer to check in a glance specific sizes or specific styles or sale stuff in shop stock just like the earlier systems did.
2024-10-04,20:02:29,UTC,clarks,nCJJONetQ7ZXQ6aopQOdH,A219,clarks_A219,,e00139689b1a5b659c4e79df953e667d,1.46.0 ,😍 Very satisfied,,,,😍 Excellent,"`Speed and Performance` ,`Logging in`",,
2024-10-05,0:02:32,UTC,williams,X6w9XkXgxSXpUsXqG_ZWH,KGT,williams_KGT,,01a7959aedaa54f0929fff9a7753530b,1.52.0 ,😐 Neutral,"`Too many steps to complete a task.` ,`Other (please specify)`",Need to be able to hit the scan button to go straight to scanning instead of going back then hitting scan,Consistently (daily),🙂 Good,`Scanning`,,
2024-10-05,0:59:56,UTC,clarks,zdxN88UtZRCOGlfbbhuWP,A822,clarks_A822,,0fe9aaf7aa9551d9a674dcb4a22bee6a,1.54.0 ,😭 Very Unsatisfied,,,,,,,
2024-10-05,3:02:26,UTC,williams,yb4PJfHng4iqWiVXJac_9,KAP,williams_KAP,,381b92c564655952bfb56e00f398c26a,1.52.0 ,🙂 Satisfied,,,,🙂 Good,`Searching`,,
2024-10-05,8:28:03,UTC,clarks,mE8DZS0P2UUuE3omusunA,3823,clarks_3823,,e8bdf39cf7ec53dab2439a7ffb07a972,1.55.0 ,🙂 Satisfied,,,,🙂 Good,`Customer Capture`,,
2024-10-05,10:02:49,UTC,ganni,rmPb3oregy2lpuPcjhTQ5,DE-BE-ROCH,ganni_DE-BE-ROCH,,b08adebac0035facb562e753741a6145,1.54.0 ,😐 Neutral,,,,,,,
2024-10-05,10:16:16,UTC,clarks,jzp2NWA75Z2Pr8Qnej6k2,5038,clarks_5038,,5e0baaa143bf54859d4623ad4bce2459,1.55.0 ,😐 Neutral,"`The login process interrupts my work` ,`The app is slow to open after I log in.`",,Frequently (more than 3 times per week),☹️ Poor,"`Speed and Performance` ,`Logging in`",,
2024-10-05,10:37:46,UTC,clarks,C8Os9h3XON4M1scjLZYCY,3260,clarks_3260,,942c9397793054cbaa43a06982637fa1,1.55.0 ,😍 Very satisfied,,,,😍 Excellent,`Scanning`,,
2024-10-05,10:57:35,UTC,clarks,0HFCm1AOqfozViyjZfSBe,3841,clarks_3841,,026f4f1ce2f75eb89b1a53ed1bb80835,1.55.0 ,🙂 Satisfied,,,,🙂 Good,`Logging in`,,
2024-10-05,15:42:22,UTC,clarks,aqGww3pUTz_oGgyp0-qsN,5413,clarks_5413,,e7aaf4c26bef59daa582e92c5a9729c7,1.55.0 ,😐 Neutral,,,,,,,
2024-10-05,15:47:41,UTC,clarks,TdmBF7YtakKR1BTK9aJIj,5018,clarks_5018,,9d566a9064fc5ea59c32c419c0439233,1.55.0 ,😐 Neutral,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`The login process interrupts my work`",,Rarely (Once a week or less),,,,
2024-10-05,16:47:31,UTC,windsor,,,windsor_,,,1.55.0 ,🙁 Unsatisfied,"`Photos and content load slowly.` ,`Other (please specify)`",Printer error,Rarely (Once a week or less),😐 OK,"`Speed and Performance` ,`Logging in`",,
2024-10-05,19:02:32,UTC,windsor,aYUITluGfNe2L5JyZKEzs,44,windsor_44,,79705215694758dc8bb52e559f7013f5,1.55.0 ,😍 Very satisfied,,,,😍 Excellent,"`Speed and Performance` ,`Ease of Navigation`",,
2024-10-05,22:25:50,UTC,windsor,,,windsor_,,,1.55.0 ,😭 Very Unsatisfied,"`Slow response to actions (like adding items to a cart)` ,`Too many steps to complete a task.` ,`The login process interrupts my work` ,`The app is slow to open after I log in.`",,Consistently (daily),😭 Very poor,"`Speed and Performance` ,`Logging in` ,`Scanning` ,`Searching` ,`Ease of Navigation`",,
2024-10-05,22:32:07,UTC,windsor,UgESLlkkZGLDVtEL6WHSn,147,windsor_147,,6ecbf4b72f3b59cfa07a3a28fb982ff7,1.55.0 ,🙁 Unsatisfied,`The login process interrupts my work`,,Consistently (daily),🙂 Good,"`Speed and Performance` ,`Logging in` ,`Scanning` ,`Ease of Navigation`",,
2024-10-06,8:05:12,UTC,clarks,0VjtRwDB_I-e990MijQHr,3823,clarks_3823,,b6e44872a260515d93952849084969cb,1.55.0 ,😭 Very Unsatisfied,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`Too many steps to complete a task.` ,`It’s hard to find products.` ,`The login process interrupts my work` ,`The app is slow to open after I log in.`",,Consistently (daily),😭 Very poor,"`Speed and Performance` ,`Logging in` ,`Scanning` ,`Searching` ,`Customer Capture` ,`Ease of Navigation` ,`Payment`",,
2024-10-06,9:51:15,UTC,clarks,u1uX7B7Iqv0i1lBHWy667,5589,clarks_5589,,d0935502fef2597c8528a2a4c18581fa,1.55.0 ,🙂 Satisfied,,,,😐 OK,"`Speed and Performance` ,`Scanning` ,`Searching`",,
2024-10-06,11:52:16,UTC,clarks,K7CAWnHkqzuTIczF53qD7,1901,clarks_1901,,0cc203fda3ae5cf9b05ffa6ec78b3eeb,1.55.0 ,🙂 Satisfied,,,,😐 OK,"`Speed and Performance` ,`Logging in` ,`Payment`",,
2024-10-06,13:43:25,UTC,clarks,VtmBEV5PKWD8asC-XXBEN,5411,clarks_5411,,0758c07a511e5d41b381f8ff482ff67f,1.53.1 ,😭 Very Unsatisfied,,,,,,,
2024-10-06,19:34:39,UTC,clarks,Rmi10y8AbbRJWAOhM8IA_,A219,clarks_A219,,bac978c1814e50afbf64e5bbeda57fb3,1.46.0 ,😐 Neutral,`It’s hard to find products.`,,Frequently (more than 3 times per week),😐 OK,"`Logging in` ,`Searching` ,`Customer Capture`",,
2024-10-06,22:14:41,UTC,clarks,MS1Oizo9eh6D8achal9T6,A516,clarks_A516,,8d781eb7d32954789ddf155df70bc87b,1.45.1 ,😐 Neutral,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`The app is slow to open after I log in.`",,Frequently (more than 3 times per week),😐 OK,`Speed and Performance`,,
2024-10-06,23:31:41,UTC,ganni,nbku-kRDVCwl5yL0IqvhM,WOOD,ganni_WOOD,,4a0f289fdbb15cec9876ce5e1ae62c74,1.54.0 ,😐 Neutral,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`Too many steps to complete a task.` ,`The login process interrupts my work` ,`The app is slow to open after I log in.`",,Frequently (more than 3 times per week),☹️ Poor,"`Speed and Performance` ,`Logging in` ,`Scanning` ,`Searching` ,`Customer Capture` ,`Ease of Navigation` ,`Payment`",,It’s slow speed it up 
2024-10-07,0:30:03,UTC,williams,dr8S6Yd54C8LC7DOdML_5,KBN,williams_KBN,,b14c1dfc805f5e2b988254a0f89773d2,1.52.0 ,🙂 Satisfied,,,,🙂 Good,`Scanning`,,
2024-10-07,4:20:04,UTC,mathers,DwCmfMFmaC7Z-bIu3XsSZ,JAQ,mathers_JAQ,,661fd5850a79563ca7c34771370a3f31,1.52.0 ,😐 Neutral,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`The login process interrupts my work` ,`The app is slow to open after I log in.`",,Consistently (daily),☹️ Poor,"`Speed and Performance` ,`Logging in` ,`Scanning`",,
2024-10-07,8:57:33,UTC,clarks,Wl2GV5kvzueCA78dJ3qhO,2564,clarks_2564,,8a20d66ee2c35fa9a762bd6e6a010e51,1.55.0 ,😍 Very satisfied,,,,😍 Excellent,`Speed and Performance`,,
2024-10-07,9:09:20,UTC,clarks,z9CdiYQBJNlz1mesyu18f,1835,clarks_1835,,72276a3b307d526b930bcf2fe60076c2,1.55.0 ,😍 Very satisfied,,,,😍 Excellent,"`Speed and Performance` ,`Logging in`",,
2024-10-07,9:54:07,UTC,clarks,jIcHf2sgxvv2nmdj8j_eA,2473,clarks_2473,,643d39472bec5a89a22ccff1bee125c1,1.55.0 ,🙂 Satisfied,,,,🙂 Good,`Ease of Navigation`,,
2024-10-07,10:44:23,UTC,clarks,w-akFNDc-kOnvgRm91XwV,3805,clarks_3805,,a4e871c445785f84a91672dde6e9c5b8,1.55.0 ,😐 Neutral,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`Too many steps to complete a task.` ,`The login process interrupts my work` ,`The app is slow to open after I log in.`",,Consistently (daily),☹️ Poor,,,
2024-10-07,11:03:56,UTC,clarks,K7MVw8gdZOxLPkQuY_tSs,2338,clarks_2338,,c8732c6b7c0e51428a195841e63d5d3b,1.55.0 ,🙂 Satisfied,,,,🙂 Good,`Customer Capture`,,
2024-10-07,12:16:52,UTC,clarks,GWoAPnxk37Qj4HCFUYl5m,2257,clarks_2257,,bf510ff5b1b8548a84a894db33771026,1.55.0 ,😐 Neutral,"`It’s hard to find products.` ,`The login process interrupts my work`",,Consistently (daily),😐 OK,`Searching`,,No
2024-10-07,13:19:06,UTC,clarks,1WUWrRcqhVQxR8g9dpDQb,3829,clarks_3829,,edfe4769388c556fb14afda84c726d9f,1.55.0 ,😐 Neutral,"`Slow response to actions (like adding items to a cart)` ,`Too many steps to complete a task.` ,`The login process interrupts my work`",,Consistently (daily),🙂 Good,"`Speed and Performance` ,`Logging in` ,`Scanning` ,`Customer Capture` ,`Ease of Navigation` ,`Payment`",,
2024-10-07,13:43:07,UTC,clarks,8vKbKiqqWHRi1vnFO2LN2,1875,clarks_1875,,471efbe423f95177b94f02b52c13d322,1.55.0 ,🙂 Satisfied,,,,🙂 Good,"`Speed and Performance` ,`Logging in` ,`Scanning` ,`Searching`",,No
2024-10-07,15:10:10,UTC,windsor,,,windsor_,,,1.55.0 ,😐 Neutral,,,,,,,
2024-10-07,18:21:20,UTC,windsor,ffXku_r33AjD539QvxOuB,401,windsor_401,,e6aa0ebd86ce5ff9bb89418a3a9f9bee,1.55.0 ,🙂 Satisfied,,,,🙂 Good,`Others (please specify)`,Printing process. Tends to print duplicate slips when iPad closes and we reopen app. Asks to put pin then prints slips automatically when it’s  already been done.,
2024-10-07,18:33:24,UTC,windsor,,,windsor_,,,1.55.0 ,😍 Very satisfied,,,,🙂 Good,`Logging in`,,Every time our screen turns off it would help if we didn’t have to re login 
2024-10-07,22:55:05,UTC,mathers,Mo_yBTJcp11LUhxEPd2Qc,JAH,mathers_JAH,,b84198f940be50e5865d77e42b863b87,1.52.0 ,🙁 Unsatisfied,`The login process interrupts my work`,,Consistently (daily),😐 OK,`Ease of Navigation`,,Consider ease of yse if trying to do things one handed
2024-10-08,0:56:44,UTC,marine-layer,IMSb3DKe-KI5xj58aDicc,SD,marine-layer_SD,,93cc73ade1e850a2bc732ddc22da8153,1.55.0 ,🙁 Unsatisfied,`Other (please specify)`,"App sometimes unresponsive after logging in, happens more often when app has been open for a while.",Frequently (more than 3 times per week),😐 OK,"`Speed and Performance` ,`Logging in` ,`Searching`",,
2024-10-08,8:40:37,UTC,clarks,_aglPn7ERp0zvXdhN7BAF,5490,clarks_5490,,10ec8474157754498cb52c7f36f97fff,1.55.0 ,😭 Very Unsatisfied,"`Photos and content load slowly.` ,`Slow response to actions (like adding items to a cart)` ,`Too many steps to complete a task.` ,`The login process interrupts my work`",,Consistently (daily),☹️ Poor,"`Speed and Performance` ,`Scanning` ,`Customer Capture`",,
2024-10-08,8:44:09,UTC,clarks,v2GUG-4TYjN9jfyIYsQEV,7772,clarks_7772,,000c64ce42a851d69e66cefea94876c8,1.55.0 ,🙂 Satisfied,,,,🙂 Good,,,
2024-10-08,9:14:49,UTC,clarks,OS_o73-9lf3Flp2-NvONs,3235,clarks_3235,,5af8038dd1fd580e9136663e37fadd67,1.55.0 ,😐 Neutral,"`Photos and content load slowly.` ,`The login process interrupts my work`",,Frequently (more than 3 times per week),🙂 Good,`Searching`,,
2024-10-08,10:21:01,UTC,clarks,WChCpIy0aAg8Amlf1QARR,5407,clarks_5407,,e33c1d877d425f10a7d1547056480c1e,1.55.0 ,🙂 Satisfied,,,,🙂 Good,"`Searching` ,`Customer Capture`",,Toggle option for signing customer up to email contact when entering email at receipt stage of the sale 
2024-10-08,11:10:57,UTC,ganni,isfdH6meGNQJWW5y1cPYw,UK-BI-POST,ganni_UK-BI-POST,,c7f9d8b4c74a5d26930810b42a4f6da1,1.54.0 ,😐 Neutral,`Too many steps to complete a task.`,,Occasionally (2-3 times per week),🙂 Good,`Ease of Navigation`,,"Too many steps, simplify "
2024-10-08,13:11:46,UTC,clarks,O34-l4iIokGo_HL-HpnCv,3155,clarks_3155,,66b8fa1f6a6958f9a247cac1fe28f24f,1.55.0 ,😍 Very satisfied,,,,😍 Excellent,,,
2024-10-08,16:58:50,UTC,windsor,,,windsor_,,,1.55.0 ,😐 Neutral,,,,,,,
