Date,Time,Timezone,Page,Retailer,User Agent,Q1: How would rate your satisfaction with the Omnichannel Manager (NOM) at newstore.com?,Q2: Why are you unsatisfied?,Q3: What should we prioritize improving in NOM?,Q3. Other (Please specify) explain,Q4: Select your job title,Q4. Other (Please specify) explain,Q5: What are the tasks you use NOM for?,Q5. Other (Please specify) explain,Q6: Anything else to add?
2025-10-13,21:42:24,UTC,https://manager.allsaints.p.newstore.net/store-operations/inventory/asns?destination_id=us-568,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Extremely Happy,,`Make it more user friendly`,,Store Manager or Assistant Store Manager,,,,
2025-10-15,1:27:34,UTC,https://manager.allsaints.p.newstore.net/sales/orders?page=0&pagesize=10&sortby=placedat&dir=desc,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,`Make it more user friendly`,,Store Manager or Assistant Store Manager,,`Looking up orders and order statuses`,,
2025-10-21,4:32:11,UTC,https://manager.allsaints.p.newstore.net/settings/users-and-roles/users,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Disappointed,"`NOM is slow, laggy or unreliable.`","`Make it more user friendly` ,`Improve the speed and performance`",,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Managing products and inventory` ,`Managing order fulfillment`",,
2025-10-10,10:03:41,UTC,https://manager.allsaints.p.newstore.net/,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,,,,,,,
2025-10-10,10:04:34,UTC,https://manager.allsaints.p.newstore.net/sales/orders?page=0&pagesize=10&sortby=placedat&dir=desc,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,,,,,,,
2025-10-10,16:07:30,UTC,https://manager.allsaints.p.newstore.net/sales/orders,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Happy,,,,,,,,
2025-10-10,17:43:21,UTC,https://manager.allsaints.p.newstore.net/insights/reports/a08bdc77-1873-495a-86f6-dd8a46cb665a,allsaints,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,,,,,,,
2025-10-10,18:27:04,UTC,https://manager.allsaints.p.newstore.net/insights/explore/liveboards,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,,,,,,,
2025-10-11,11:50:32,UTC,https://manager.allsaints.p.newstore.net/sales/orders?page=0&pagesize=10&sortby=placedat&dir=desc,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Happy,,,,,,,,
2025-10-11,16:19:27,UTC,https://manager.allsaints.p.newstore.net/settings/users-and-roles/users,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Happy,,,,,,,,
2025-10-12,11:33:16,UTC,https://manager.allsaints.p.newstore.net/insights/explore/liveboards,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Happy,,,,,,,,
2025-10-13,9:39:39,UTC,https://manager.allsaints.p.newstore.net/settings/users-and-roles/users,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Happy,,,,,,,,
2025-10-14,20:47:38,UTC,https://manager.allsaints.p.newstore.net/,allsaints,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Happy,,,,,,,,
2025-10-18,19:33:45,UTC,https://manager.allsaints.p.newstore.net/sales/orders,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Happy,,,,,,,,
2025-10-20,16:26:35,UTC,https://manager.allsaints.p.newstore.net/,allsaints,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Disappointed,`Other (Please describe)`,,,,,,,
2025-10-10,15:52:49,UTC,https://manager.aninebing.p.newstore.net/sales/orders?page=0&pagesize=10&filters[products.fulfillmentlocation][]=044_nj_shorthills&filters[placedat][min]=2025-10-07&filters[placedat][max]=&sortby=placedat&dir=desc,aninebing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",Happy,,`Improve the speed and performance`,,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory` ,`Managing order fulfillment`",,
2025-10-10,16:28:56,UTC,https://manager.aninebing.p.newstore.net/insights/reports/049df258-7a46-47f4-9009-0440db42175f,aninebing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Disappointed,"`NOM is slow, laggy or unreliable.`",`Improve the speed and performance`,,Store Manager or Assistant Store Manager,,"`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory`",,
2025-10-10,8:44:22,UTC,https://manager.aninebing.p.newstore.net/insights/reports,aninebing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",Neither Happy Nor Disappointed,,,,,,,,
2025-10-11,4:32:31,UTC,https://manager.aninebing.p.newstore.net/,aninebing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Extremely Happy,,,,,,,,
2025-10-12,0:22:07,UTC,https://manager.aninebing.p.newstore.net/customers?filters=%5b%5d&globalfilter=&pageindex=0&pagesize=20&sortby=%5b%7b%22id%22%3a%22created_at%22%2c%22desc%22%3atrue%7d%5d,aninebing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Happy,,,,,,,,
2025-10-15,18:47:05,UTC,https://manager.aninebing.p.newstore.net/sales/orders,aninebing,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Extremely Happy,,,,,,,,
2025-10-17,17:01:14,UTC,https://manager.aninebing.p.newstore.net/sales/orders?page=0&pagesize=10&sortby=placedat&dir=desc,aninebing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Safari/605.1.15",Neither Happy Nor Disappointed,,,,,,,,
2025-10-10,13:53:56,UTC,https://manager.appgroup.p.newstore.net/dashboard/net-sales,appgroup,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Happy,,`Focus on shipping new features`,,Store Manager or Assistant Store Manager,,`Other (Please specify)`,"WhatsApp notifications 
",for now not
2025-10-10,22:42:13,UTC,https://manager.appgroup.p.newstore.net/login,appgroup,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Extremely Happy,,`Make it more user friendly`,,,,,,
2025-10-14,16:30:36,UTC,https://manager.appgroup.p.newstore.net/sales/orders,appgroup,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",Extremely Happy,,,,,,,,
2025-10-19,14:49:08,UTC,https://manager.appgroup.p.newstore.net/insights/reports/73cab8ff-1027-4281-a3f6-585d542e2208,appgroup,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Neither Happy Nor Disappointed,,,,,,,,
2025-10-10,16:06:08,UTC,https://manager.axelarigato-staging.p.newstore.net/tools/templates-editor,axelarigato-staging,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Extremely Happy,,`Make it easier to import and export data`,,Retail Operations (Manager),,"`Using Insights and reports` ,`Looking up orders and order statuses`",,
2025-10-10,19:25:09,UTC,https://manager.birkenstock.p.newstore.net/insights/reports/2cf49bca-c32e-4d77-869d-ac49b04ea14d,birkenstock,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Disappointed,"`NOM is slow, laggy or unreliable.` ,`Other (Please describe)`",`Improve the speed and performance`,,Retail Operations (Manager),,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory` ,`Managing coupons and promotions` ,`Managing order fulfillment`",,There should not be a 45 min lag for reporting
2025-10-15,17:49:15,UTC,https://manager.birkenstock.p.newstore.net/insights/reports/f0b322e5-97da-4300-aa9b-8e3917ab6696,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Disappointed,"`NOM is slow, laggy or unreliable.`","`Make it more user friendly` ,`Improve the speed and performance` ,`Make it easier to import and export data`",,Retail Operations (Manager),,`Using Insights and reports`,,
2025-10-16,21:06:41,UTC,https://manager.birkenstock.p.newstore.net/dashboard/net-sales,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Happy,,`Improve the speed and performance`,,Retail Operations (Manager),,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory`",,
2025-10-10,14:25:19,UTC,https://manager.birkenstock.p.newstore.net/dashboard/net-sales,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Disappointed,"`NOM is slow, laggy or unreliable.`","`Make it more user friendly` ,`Improve the speed and performance`",,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory` ,`Managing order fulfillment`",,"When selecting the dates for my weekly reporting i will continuously get the error that it could not complete the request, but only has been going on for the past week or so "
2025-10-10,15:08:18,UTC,https://manager.birkenstock.p.newstore.net/dashboard/net-sales,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Disappointed,`Other (Please describe)`,`Improve the speed and performance`,,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory` ,`Managing coupons and promotions` ,`Managing order fulfillment`",,"Currently when I view insights, it never loads. Can you please help fix that?"
2025-10-11,17:13:35,UTC,https://manager.birkenstock.p.newstore.net/dashboard/net-sales,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Happy,,`Improve the speed and performance`,,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Managing products and inventory`",,
2025-10-15,23:15:44,UTC,https://manager.birkenstock.p.newstore.net/insights/reports/2cf49bca-c32e-4d77-869d-ac49b04ea14d,birkenstock,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Happy,,"`Improve the speed and performance` ,`Make it easier to import and export data`",,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information`",,
2025-10-16,9:59:23,UTC,https://manager.birkenstock.p.newstore.net/insights/reports/2cf49bca-c32e-4d77-869d-ac49b04ea14d,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Neither Happy Nor Disappointed,,`Improve the speed and performance`,,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory`",,
2025-10-17,20:29:05,UTC,https://manager.birkenstock.p.newstore.net/dashboard/realtime-dashboard,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Disappointed,"`NOM is difficult to use.` ,`NOM is slow, laggy or unreliable.`",`Other (Please specify)`,Always pops up as 502 bad gateway.,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information`",,
2025-10-20,20:52:05,UTC,https://manager.birkenstock.p.newstore.net/dashboard/realtime-dashboard,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Disappointed,"`NOM is slow, laggy or unreliable.` ,`Other (Please describe)`","`Make it more user friendly` ,`Improve the speed and performance`",,Supervisor,,`Using Insights and reports`,,Cannot get past login page. says 502 Bad gateway..
2025-10-10,11:47:35,UTC,https://manager.birkenstock.p.newstore.net/dashboard/net-sales,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",Neither Happy Nor Disappointed,,,,,,,,
2025-10-10,13:56:16,UTC,https://manager.birkenstock.p.newstore.net/insights/reports/2cf49bca-c32e-4d77-869d-ac49b04ea14d,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Happy,,,,,,,,
2025-10-10,17:59:12,UTC,https://manager.birkenstock.p.newstore.net/insights/reports/2cf49bca-c32e-4d77-869d-ac49b04ea14d,birkenstock,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Neither Happy Nor Disappointed,,,,,,,,
2025-10-10,21:09:08,UTC,https://manager.birkenstock.p.newstore.net/insights/reports/2cf49bca-c32e-4d77-869d-ac49b04ea14d,birkenstock,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Extremely Happy,,,,,,,,
2025-10-11,0:03:49,UTC,https://manager.birkenstock.p.newstore.net/dashboard/net-sales,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Happy,,,,,,,,
2025-10-11,3:40:49,UTC,https://manager.birkenstock.p.newstore.net/insights/reports/2cf49bca-c32e-4d77-869d-ac49b04ea14d,birkenstock,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Neither Happy Nor Disappointed,,,,,,,,
2025-10-21,1:51:27,UTC,https://manager.birkenstock.p.newstore.net/insights/reports,birkenstock,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Happy,,,,,,,,
2025-10-20,15:56:57,UTC,https://manager.birkenstock-staging.p.newstore.net/login,birkenstock-staging,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15",Happy,,,,Engineering/IT Professional,,,,
2025-10-10,9:33:03,UTC,https://manager.boardriders.p.newstore.net/sales/orders/e59f887e-d82a-5e58-ab72-b2479b07041c,boardriders,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",Extremely Happy,,`Make it more user friendly`,,Customer Service Representative,,"`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing order fulfillment`",,
2025-10-20,7:19:06,UTC,https://manager.boardriders.p.newstore.net/sales/orders,boardriders,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Disappointed,`Other (Please describe)`,`Other (Please specify)`,"orders access in maintenance usually during mornings 
",Customer Service Representative,,`Looking up orders and order statuses`,,
2025-10-20,10:25:10,UTC,https://manager.boardriders.p.newstore.net/sales/orders,boardriders,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Happy,,,,Customer Service Representative,,"`Looking up orders and order statuses` ,`Looking up customer information`",,
2025-10-15,7:17:14,UTC,https://manager.boardriders.p.newstore.net/sales/orders,boardriders,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Extremely Happy,,`Make it more user friendly`,,Engineering/IT Professional,,,,
2025-10-15,13:21:48,UTC,https://manager.boardriders.p.newstore.net/sales/orders,boardriders,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,,,,,,,
2025-10-16,12:47:51,UTC,https://manager.brooksbrothers.p.newstore.net/,brooksbrothers,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Happy,,,,,,,,
2025-10-13,7:28:48,UTC,https://manager.burton.p.newstore.net/dashboard/net-sales,burton,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Neither Happy Nor Disappointed,,`Make it more user friendly`,,Customer Service Representative,,`Looking up orders and order statuses`,,
2025-10-20,15:54:36,UTC,https://manager.burton.p.newstore.net/sales/orders,burton,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Extremely Disappointed,"`NOM is slow, laggy or unreliable.`",`Improve the speed and performance`,,Customer Service Representative,,"`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory`",,
2025-10-14,0:22:57,UTC,https://manager.burton.p.newstore.net/login,burton,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,`Improve the speed and performance`,,Engineering/IT Professional,,,,
2025-10-13,22:26:15,UTC,https://manager.burton.p.newstore.net/login,burton,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,`Make it more user friendly`,,Retail Operations (Manager),,`Using Insights and reports`,,
2025-10-13,4:05:22,UTC,https://manager.burton.p.newstore.net/,burton,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Happy,,"`Improve the speed and performance` ,`Make it easier to import and export data`",,Store Associate,,"`Looking up orders and order statuses` ,`Looking up customer information`",,
2025-10-14,14:03:57,UTC,https://manager.burton.p.newstore.net/dashboard/net-sales,burton,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Neither Happy Nor Disappointed,,`Make it easier to import and export data`,,Store Manager or Assistant Store Manager,,"`Using Insights and reports` ,`Looking up orders and order statuses` ,`Looking up customer information` ,`Managing products and inventory`",,
2025-10-10,9:39:50,UTC,https://manager.burton.p.newstore.net/insights/explore/home,burton,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Extremely Disappointed,,,,,,,,
2025-10-10,10:07:16,UTC,https://manager.burton.p.newstore.net/login,burton,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",Extremely Happy,,,,,,,,
2025-10-11,1:11:33,UTC,https://manager.burton.p.newstore.net/catalog/stocks?page=0&pagesize=10&filters[fulfillmentnodeid][]=okr&filters[onhand][min]=1&filters[onhand][max]=9999999,burton,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",Neither Happy Nor Disappointed,,,,,,,,
2025-10-12,0:41:21,UTC,https://manager.burton.p.newstore.net/customers?filters=%5b%5d&globalfilter=&pageindex=0&pagesize=20&sortby=%5b%7b%22id%22%3a%22created_at%22%2c%22desc%22%3atrue%7d%5d,burton,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Extremely Happy,,,,,,,,
2025-10-18,22:02:23,UTC,https://manager.burton.p.newstore.net/,burton,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",Happy,,,,,,,,
